Precio,fecha
3.053e-05,2024-03-29T16:10:16.222Z
3.06e-05,2024-03-29T16:20:17.865Z
3.06e-05,2024-03-29T16:20:17.865Z
3.062e-05,2024-03-29T16:30:24.230Z
3.062e-05,2024-03-29T16:30:24.230Z
3.073e-05,2024-03-29T16:50:02.569Z
3.073e-05,2024-03-29T16:50:02.569Z
3.059e-05,2024-03-29T17:00:11.525Z
3.059e-05,2024-03-29T17:00:11.525Z
3.113e-05,2024-03-29T17:20:21.514Z
3.113e-05,2024-03-29T17:20:21.514Z
3.093e-05,2024-03-29T17:41:03.356Z
3.093e-05,2024-03-29T17:41:03.356Z
3.093e-05,2024-03-29T18:01:00.004Z
3.093e-05,2024-03-29T18:01:00.004Z
3.084e-05,2024-03-29T18:22:28.044Z
3.084e-05,2024-03-29T18:22:28.044Z
3.085e-05,2024-03-29T18:32:39.083Z
3.083e-05,2024-03-29T18:43:15.561Z
3.075e-05,2024-03-29T19:03:13.575Z
3.075e-05,2024-03-29T19:03:13.575Z
3.073e-05,2024-03-29T19:13:34.136Z
3.073e-05,2024-03-29T19:33:13.713Z
3.073e-05,2024-03-29T19:33:13.713Z
3.066e-05,2024-03-29T19:43:37.112Z
3.08e-05,2024-03-29T19:54:19.462Z
3.079e-05,2024-03-29T20:03:53.120Z
3.079e-05,2024-03-29T20:03:53.120Z
3.079e-05,2024-03-29T20:13:55.466Z
3.075e-05,2024-03-29T20:34:14.789Z
3.075e-05,2024-03-29T20:34:14.789Z
3.055e-05,2024-03-29T22:14:56.601Z
3.055e-05,2024-03-29T22:14:56.601Z
2.999e-05,2024-03-30T10:19:55.899Z
2.999e-05,2024-03-30T10:19:55.899Z
2.999e-05,2024-03-30T10:19:55.899Z
3.001e-05,2024-03-30T10:30:46.274Z
3.013e-05,2024-03-30T11:00:28.019Z
3.013e-05,2024-03-30T11:00:28.019Z
3.023e-05,2024-03-30T11:21:50.525Z
3.023e-05,2024-03-30T11:21:50.525Z
3.019e-05,2024-03-30T14:14:40.325Z
3.019e-05,2024-03-30T14:14:40.325Z
3.026e-05,2024-03-30T14:24:18.160Z
3.026e-05,2024-03-30T14:24:18.160Z
3.031e-05,2024-03-30T14:34:19.478Z
3.031e-05,2024-03-30T14:34:19.478Z
3.031e-05,2024-03-30T14:34:19.478Z
3.024e-05,2024-03-30T14:44:19.728Z
3.024e-05,2024-03-30T14:44:19.728Z
3.024e-05,2024-03-30T14:44:19.728Z
3.016e-05,2024-03-30T15:04:39.025Z
3.016e-05,2024-03-30T15:04:39.025Z
3.016e-05,2024-03-30T15:04:39.025Z
3.025e-05,2024-03-30T15:14:50.220Z
3.025e-05,2024-03-30T15:14:50.220Z
3.025e-05,2024-03-30T15:14:50.220Z
3.018e-05,2024-03-30T15:34:23.104Z
3.018e-05,2024-03-30T15:34:23.104Z
3.018e-05,2024-03-30T15:34:23.104Z
3.025e-05,2024-03-30T15:44:55.883Z
3.025e-05,2024-03-30T15:44:55.883Z
3.025e-05,2024-03-30T15:44:55.883Z
3.029e-05,2024-03-30T16:05:13.957Z
3.029e-05,2024-03-30T16:05:13.957Z
3.029e-05,2024-03-30T16:05:13.957Z
3.04e-05,2024-03-30T16:15:18.424Z
3.04e-05,2024-03-30T16:15:18.424Z
3.038e-05,2024-03-30T16:35:40.687Z
3.025e-05,2024-03-30T16:46:09.259Z
3.025e-05,2024-03-30T16:46:09.259Z
3.031e-05,2024-03-30T17:06:48.506Z
3.031e-05,2024-03-30T17:06:48.506Z
3.018e-05,2024-03-30T17:27:21.894Z
3.019e-05,2024-03-30T17:36:11.992Z
3.018e-05,2024-03-30T17:46:12.020Z
3.018e-05,2024-03-30T17:46:12.020Z
3.018e-05,2024-03-30T18:06:58.274Z
3.018e-05,2024-03-30T18:06:58.274Z
3.023e-05,2024-03-30T18:27:12.364Z
3.008e-05,2024-03-30T19:48:38.362Z
3.008e-05,2024-03-30T19:48:38.362Z
3.006e-05,2024-03-30T20:58:47.207Z
3.006e-05,2024-03-30T20:58:47.207Z
2.966e-05,2024-03-30T22:40:46.991Z
2.966e-05,2024-03-30T22:40:46.991Z
3.045e-05,2024-03-31T10:34:50.271Z
3.045e-05,2024-03-31T10:34:50.271Z
3.032e-05,2024-03-31T10:54:55.956Z
3.028e-05,2024-03-31T11:04:38.913Z
3.028e-05,2024-03-31T11:04:38.913Z
3.029e-05,2024-03-31T11:34:48.159Z
3.037e-05,2024-03-31T11:45:10.290Z
3.037e-05,2024-03-31T11:45:10.290Z
3.037e-05,2024-03-31T12:04:51.864Z
3.037e-05,2024-03-31T12:04:51.864Z
3.036e-05,2024-03-31T12:25:49.140Z
3.036e-05,2024-03-31T12:25:49.140Z
3.033e-05,2024-03-31T12:45:25.928Z
3.033e-05,2024-03-31T12:45:25.928Z
3.04e-05,2024-03-31T13:05:23.525Z
3.04e-05,2024-03-31T13:05:23.525Z
3.037e-05,2024-03-31T16:37:14.022Z
3.037e-05,2024-03-31T16:37:14.022Z
3.033e-05,2024-03-31T16:57:07.845Z
3.039e-05,2024-03-31T17:06:19.856Z
3.044e-05,2024-03-31T17:17:49.030Z
3.044e-05,2024-03-31T17:17:49.030Z
3.042e-05,2024-03-31T17:36:42.769Z
3.04e-05,2024-03-31T17:47:22.658Z
